Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__GI__dl_argv;rtld.c;83;0.8201019763946533;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.24298357963562012;0-2;LSB bit-flip
_buffer;pthread_join.c;62;1.073758602142334;0-2;LSB bit-flip
s_args1;newton.c;85;1.224374771118164;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.5271134376525879;0-2;LSB bit-flip
s_args1;newton.c;85;1.1881921291351318;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.369920015335083;0-2;LSB bit-flip
s_args1;newton.c;85;1.0927491188049316;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.6629424095153809;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.052600383758545;0-2;LSB bit-flip
argv;newton.c;79;0.7108995914459229;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5447723865509033;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7758612632751465;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.20721077919006348;0-2;LSB bit-flip
s_args1;newton.c;85;0.9219405651092529;0-2;LSB bit-flip
s_args2;newton.c;85;0.4044911861419678;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.4713277816772461;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.16082215309143066;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.9808807373046875;0-2;LSB bit-flip
s_args1;newton.c;85;0.3555424213409424;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.2866251468658447;0-2;LSB bit-flip
s_args2;newton.c;85;0.8398640155792236;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.38434410095214844;0-2;LSB bit-flip
s_args1;newton.c;85;0.7332048416137695;0-2;LSB bit-flip
s_args1;newton.c;85;1.0857300758361816;0-2;LSB bit-flip
s_args1;newton.c;85;0.4555349349975586;0-2;LSB bit-flip
s_args2;newton.c;85;0.8133993148803711;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5006148815155029;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.6582298278808594;0-2;LSB bit-flip
s_args1;newton.c;85;1.572801113128662;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7815630435943604;0-2;LSB bit-flip
s_args2;newton.c;85;1.1134390830993652;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1021440029144287;0-2;LSB bit-flip
s_args1;newton.c;85;0.8417930603027344;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.36899685859680176;0-2;LSB bit-flip
s_args2;newton.c;85;1.3260092735290527;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.401303768157959;0-2;LSB bit-flip
s_args1;newton.c;85;1.2376151084899902;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9410979747772217;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8096652030944824;0-2;LSB bit-flip
s_args1;newton.c;85;1.4223849773406982;0-2;LSB bit-flip
s_args1;newton.c;85;0.8137099742889404;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.005237340927124;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9608516693115234;0-2;LSB bit-flip
